"indicator";"value2005";"rank2005";"value2008";"rank2008";"municipality"
"Income Index";"321.91";"62";"became a city";"N/A";"Navotas+Metro Manila"
"Total Per Capita Income Index";"159.74";"617";"N/A";"N/A";"Navotas+Metro Manila"
"Total Per Capita Income from Local Sources Index";"484.09";"25";"N/A";"N/A";"Navotas+Metro Manila"
"Expenditure Index";"262.30";"102";"became a city";"N/A";"Navotas+Metro Manila"
"Per Capita Expenditure on Education, Culture Sports/Manpower Development Index";"535.83";"30";"N/A";"N/A";"Navotas+Metro Manila"
"Per Capita Expenditure on Health, Nutrition and Population Control Index";"212.61";"340";"N/A";"N/A";"Navotas+Metro Manila"
"Per Capita Expenditure on Economic Services Index";"38.44";"1,427";"N/A";"N/A";"Navotas+Metro Manila"
"GOOD GOVERNANCE INDEX";"292.10";"73";"became a city";"N/A";"Navotas+Metro Manila"
"Income Index";"274.24";"96";"316.94";"101";"Pateros+Metro Manila"
"Total Per Capita Income Index";"164.80";"573";"206.08";"673";"Pateros+Metro Manila"
"Total Per Capita Income from Local Sources Index";"383.69";"46";"427.79";"46";"Pateros+Metro Manila"
"Expenditure Index";"300.22";"71";"316.95";"84";"Pateros+Metro Manila"
"Per Capita Expenditure on Education, Culture Sports/Manpower Development Index";"461.01";"36";"497.71";"45";"Pateros+Metro Manila"
"Per Capita Expenditure on Health, Nutrition and Population Control Index";"330.55";"105";"338.32";"103";"Pateros+Metro Manila"
"Per Capita Expenditure on Economic Services Index";"109.09";"880";"114.83";"894";"Pateros+Metro Manila"
"GOOD GOVERNANCE INDEX";"287.23";"77";"316.95";"85";"Pateros+Metro Manila"
